Response Reference,Object to or Support application,Response text
R1,Object,"I strongly object to the proposed five-storey apartment block on Main Street. Its height and bulk would be out of scale with the two- and three-storey buildings nearby, particularly when viewed from the junction with Chapel Lane. The upper floors should be set back and the overall height reduced."
R2,Support,"I support the principle of redeveloping this underused site. More homes close to shops and bus routes are needed, and the active ground-floor frontage could make this stretch of Main Street feel safer and more welcoming in the evening."
R3,Object,"My main concern is loss of daylight. I live opposite on Main Street and the submitted shadow diagrams do not appear to show the effect during winter, when the sun is lowest. Please require an independent daylight and sunlight assessment before deciding the application."
R4,Object,"The plans require the closure of the cafe currently occupying the site. This is one of the few affordable, independently run meeting places in the neighbourhood and is used by older residents and parents after the school run. If permission is granted, space for the cafe or another local business should be included at a genuinely affordable rent."
R5,Support,"This is a sensible use of a brownfield site and should bring additional spending to existing shops. I particularly welcome the small commercial units rather than one large chain-store unit, as they could allow local businesses to take space."
R6,Object,"Traffic already queues along Main Street at morning and evening peaks. The transport statement seems to focus on residents owning fewer cars, but it says little about delivery vans, taxis, removals and servicing. A clear loading plan and restrictions on deliveries during school arrival and collection times are needed."
R7,Support,"I support the application because it includes affordable homes in a central location. However, the affordable housing commitment should be secured for the life of the development, with the tenure mix and service charges published before approval."
R8,Object,"The proposal removes several mature trees and replaces them with small ornamental planting. That is not an equivalent environmental benefit. The developer should retain the healthy trees, use native species and provide enough soil depth for new trees to reach maturity."
R9,Support,"The existing building has been vacant and poorly maintained for years, so redevelopment could greatly improve the appearance of Main Street. The brick and stone approach is appropriate, although the shop signs and lighting should be controlled to avoid a cluttered frontage."
R10,Object,The rear wing sits very close to neighbouring homes and would create an overbearing outlook from their gardens. Obscure glazing alone will not address the sense of enclosure. Pulling the upper storeys away from the rear boundary would make the scheme more acceptable.
R11,Support,"I welcome the proposed community room, especially if it can be booked by local groups at low cost. The planning agreement should set out who will manage it, its opening hours and how residents can reserve it, otherwise there is a risk it will not deliver the stated benefit."
R12,Object,"Bats and nesting birds have been recorded around the older roofs and trees on this part of Main Street. The ecological survey appears to have been carried out on a single visit. Further seasonal surveys should be completed, with any mitigation installed before demolition begins."
R13,Support,"Main Street needs more residents to support the high street throughout the week, not just at weekends. Bringing homes above active shops should help footfall and make better use of land that is currently largely empty."
R14,Object,"Construction noise, dust and vibration could be severe because houses and shops sit immediately beside the site. If approved, working hours should exclude early mornings, evenings, Sundays and bank holidays, and residents should have a named contact for complaints."
R15,Support,"The secure basement parking and electric vehicle charging points are positive. I would also like to see more spaces for disabled residents and visitors, plus a car-club bay so that households do not each need to own a vehicle."
R16,Object,"Independent traders may lose passing trade while the pavement is narrowed and construction vehicles occupy the street. The applicant should prepare a business continuity plan, maintain pedestrian access to every shop and provide clear signage showing that businesses remain open."
R17,Support,"The courtyard garden is a welcome feature in a dense part of town. It should include usable seating, shade and play space rather than being mainly decorative planting, and residents should not face extra charges simply to access it."
R18,Object,"Main Street forms part of the historic town centre and the proposed top storey would be visible above the established roofline. The materials are promising, but the massing needs another revision so the new building complements rather than dominates the older terraces."
R19,Support,"Young people have very few indoor places to meet locally. I support the flexible ground-floor room and would encourage the applicant to work with youth organisations on its design, safeguarding arrangements and evening opening times."
R20,Object,"The assessment underestimates pressure on school places. Family-sized flats are welcome, but the council should confirm where additional pupils could be accommodated and ensure the developer makes an appropriate contribution to local education provision."
R21,Support,"I strongly support the inclusion of social-rent homes, which are urgently needed and more useful to local households than additional luxury flats. These homes should be delivered in the first phase and be indistinguishable in quality and entrance arrangements from the private units."
R22,Object,"Local drainage already struggles during heavy rain and water sometimes pools near the pedestrian crossing. The application should demonstrate that the basement and increased hard surfacing will not worsen flooding, with sustainable drainage maintained for the lifetime of the building."
R23,Support,The development should create apprenticeships as well as short-term construction jobs. I would support a planning condition requiring the contractor to advertise opportunities locally and report on training and employment outcomes.
R24,Object,"The viability documents do not explain clearly whether small local businesses will be able to afford the new commercial rents. Replacing modest premises with expensive units could reduce, rather than strengthen, the diversity of the high street."
R25,Support,"I am in favour of the scheme if the promised community facilities are secured through the planning permission. A publicly accessible toilet, drinking-water refill point and bookable meeting space would all be practical benefits for people using the town centre."
R26,Object,"The bin store and collection point appear too small for the number of flats and commercial units proposed. Bins are already left on the pavement nearby. Waste vehicles must be able to collect without blocking buses, cyclists or the pedestrian crossing."
R27,Support,"The mix of one-, two- and three-bedroom homes is a strength. To make the development genuinely suitable for younger residents and first-time renters, deposits, service charges and shared facilities should remain affordable rather than being marketed as premium extras."
R28,Object,"The design feels repetitive and could belong to almost any high street. More attention should be paid to the proportions, shopfront widths and brick detailing found on Main Street, while avoiding a fake historic style. A revised frontage could be contemporary and still respond to local character."
R29,Support,"I support the larger family flats and accessible layouts. It would be even better if some homes had separate kitchens, adequate storage for buggies and balconies designed to be safe and usable, as these details matter for long-term family living."
R30,Object,"Taken together, late-night activity, servicing, extra traffic and the loss of privacy could noticeably affect nearby residents. I am not opposed to development of the site, but the current proposal tries to fit too much onto it. A smaller scheme with firmer management conditions would be more balanced."
